Name,Price,Mileage,Transmission,Number of Owners,Seats,Standard Payload Capacity (lbs),MPGe,Original EPA Range,EPA Time to Charge,Consumer reviews
2020 Kia Niro EV EX Premium,"$26,994","14,874",direct drive,1,5,"1,062",112,239 miles,9.5 hrs,4.7
2022 Ford E-Transit Cargo Van 350 Medium Roof,"$47,999","2,797",direct drive,0,2,"3,628",nan,nan,9.5 hrs,4.0
2020 MINI Hardtop 2 Door Cooper SE Hatchback,"$27,990","6,542",direct drive,1,4,728,108,110 miles,4 hrs,4.5
2022 Polestar 2 Long Range Dual Motor Hatchback,"$38,589","1,484",direct drive,1,5,nan,89,249 miles,8 hrs,3.9
2022 Polestar 2 Long Range Dual Motor Hatchback,"$38,589","1,605",direct drive,1,5,nan,89,249 miles,8 hrs,3.9
2022 Polestar 2 Long Range Dual Motor Hatchback,"$38,589","1,169",direct drive,1,5,nan,89,249 miles,8 hrs,3.9
2019 Hyundai Ioniq Electric Base Hatchback,"$18,596","13,035",direct drive,1,5,"1,025",nan,124 miles,4 hrs,5.0
2023 Ford Mustang Mach-E Premium Hatchback,"$49,499","1,955",direct drive,0,5,nan,103,229-252 miles,8.1 hrs,4.3
2023 Hyundai Kona Electric Limited,"$33,500","1,564",direct drive,1,5,926,120,258 miles,9.5 hrs,3.6
2023 Mercedes-Benz EQS SUV EQS 450+,"$85,063","6,733",direct drive,1,5,nan,85,305 miles,12.8 hrs,5.0
2015 BMW i3 Base Hatchback,"$12,990","53,651",direct drive,2,4,715,124,69-75 miles,nan,4.1
2021 Tesla Model S Long Range,"$61,990","12,331",direct drive,1,5,nan,120,384-385 miles,15 hrs,3.1
2019 Audi e-tron Prestige quattro,"$40,590","18,488",direct drive,1,5,nan,nan,202-213 miles,nan,4.0
2023 Mercedes-Benz EQS EQS 450+,"$88,448","1,796",direct drive,1,5,"1,075",97,350 miles,12.5 hrs,3.8
2020 Nissan LEAF SV Hatchback,"$20,085","9,740",direct drive,1,5,"1,182",111,145-155 miles,7.5 hrs,4.3
2019 Audi e-tron Premium Plus quattro,"$41,953","16,331",direct drive,1,5,nan,nan,212-223 miles,nan,4.0
2019 Tesla Model X Standard Range,"$54,999","29,981",direct drive,1,5,nan,nan,247 miles,nan,4.0
2023 Audi e-tron Premium,"$61,888","6,744",direct drive,1,5,nan,78,212-222 miles,10 hrs,3.3
2022 Kia EV6 Wind,"$40,000","7,351",direct drive,1,5,895,105,274 miles,8.4 hrs,4.3
2021 Tesla Model 3 Performance,"$41,778","30,355",direct drive,1,5,nan,113,287-288 miles,10 hrs,4.3
2021 Volkswagen ID.4 AWD Pro S (Statement),"$37,999","7,307",direct drive,1,5,nan,93,240 miles,7.5 hrs,4.2
2018 Tesla Model X 100D,"$50,990","59,091",direct drive,2,5,nan,87,263 miles,12 hrs,4.1
2023 Volvo XC40 Recharge Ultimate,"$49,990","6,182",direct drive,1,5,nan,85,223 miles,8 hrs,3.0
2022 Polestar 2 Long Range Dual Motor Hatchback,"$42,995","4,756",direct drive,1,5,nan,89,249 miles,8 hrs,3.9
2021 Tesla Model 3 Standard Range Plus,"$35,688","15,676",direct drive,1,5,nan,nan,242-243 miles,7.8 hrs,4.3
2019 Volkswagen e-Golf SEL Premium Hatchback,"$23,650","16,142",direct drive,1,5,827,119,125 miles,5.3 hrs,4.1
2018 Nissan LEAF SV Hatchback,"$16,497","41,196",direct drive,2,5,985,112,136-146 miles,nan,4.4
2022 Tesla Model 3 Performance,"$45,401","19,461",direct drive,1,5,nan,113,296-297 miles,10 hrs,4.1
